code,name,zone,division_name,lat,long,station_km,elevation_m,is_junction,has_crew_lobby,is_banking_station
BTQ,BETNOTI,SER,KGP,21.74066618,86.84387618,237.163,48,FALSE,FALSE,FALSE
KCV,KRISHNACHANDRAPUR,SER,KGP,21.8248573,86.82147365,248.531,89,FALSE,FALSE,FALSE
JSE,JAMSOLE,SER,KGP,21.87481746,86.81762175,254.617,83,FALSE,FALSE,FALSE
BPO,BARIPADA,SER,KGP,21.92321056,86.73781794,264.796,50,FALSE,FALSE,FALSE
VZR,BHANJPUR,SER,KGP,21.95406652,86.73451246,268.317,49,FALSE,FALSE,FALSE
KUCE,KUCHAI,SER,KGP,22.01095584,86.69692041,275.93,60,FALSE,FALSE,FALSE
BWO,BURAMARA,SER,KGP,22.10801573,86.65079337,287.774,88,FALSE,FALSE,FALSE
RJLK,RAJALUKA,SER,KGP,22.15301799,86.61732833,293.94,85,FALSE,FALSE,FALSE
BGY,BANGIRIPOSI,SER,KGP,22.14651659,86.54008498,302.224,,FALSE,FALSE,FALSE
SBGB,SUTEI BADAGAN,SER,KGP,21.49118964,86.8658,237.387,25,FALSE,FALSE,FALSE
GPNB,GOPINATHPUR NILGIRI,SER,KGP,21.48328371,86.78661,246.705,,FALSE,FALSE,FALSE
MRFO,MOURIGRAM F/O,SER,KGP,22.58190825,88.2584237,10.517,,TRUE,FALSE,FALSE
BKNM,BANKRA NAYABAZ,SER,KGP,22.59590945,88.27760707,13.097,6,FALSE,FALSE,FALSE
BLTR,BALTIKURI,SER,KGP,22.60943431,88.2960916,15.697,,FALSE,FALSE,FALSE
KONA,KONA,SER,KGP,22.61833798,88.29648857,16.912,6,FALSE,FALSE,FALSE
DNI,DANSI,SER,KGP,22.6220617,88.26641564,20.246,,FALSE,FALSE,FALSE
JLBR,JHALURBAR,SER,KGP,22.62770507,88.25229099,21.81,,FALSE,FALSE,FALSE
MDC,MAKARDAH,SER,KGP,22.62898993,88.23619395,23.863,,FALSE,FALSE,FALSE
DMJR,DOMJUR ROAD,SER,KGP,22.63572235,88.22231182,25.291,,FALSE,FALSE,FALSE
DJR,DOMJUR,SER,KGP,22.64305983,88.20944794,26.227,,FALSE,FALSE,FALSE
DKB,DAKHINBARI,SER,KGP,22.65617576,88.18263238,29.834,,FALSE,FALSE,FALSE
BAC,BARGACHIA,SER,KGP,22.66699663,88.1381625,34.475,,FALSE,FALSE,FALSE
PTHL,PATIHAL,SER,KGP,22.65979955,88.11472135,37.328,,FALSE,FALSE,FALSE
MNH,MUNSHIRHAT,SER,KGP,22.64877023,88.09530246,39.565,,FALSE,FALSE,FALSE
MHLN,MAHENDRALAL NAGAR,SER,KGP,22.64313962,88.09162614,40.316,,FALSE,FALSE,FALSE
MAJU,MAJU,SER,KGP,22.61608302,88.07873812,43.64,,FALSE,FALSE,FALSE
JLI,JALALSI,SER,KGP,22.58824233,88.05767131,47.42,,FALSE,FALSE,FALSE
HDC,HARISHDADPUR,SER,KGP,22.57513696,88.04352772,49.49,,FALSE,FALSE,FALSE
AMZ,AMTA,SER,KGP,22.5747816,88.01938771,52.05,5,FALSE,FALSE,FALSE
PDPK,PADMAPUKUR,SER,KGP,22.56799409,88.30613178,10.332,5,FALSE,FALSE,FALSE
SHM,SHALIMAR,SER,KGP,22.55469653,88.31668225,12.616,5,FALSE,FALSE,FALSE
ACSY,Ambuja Cement Eastern Ltd,SER,KGP,22.56947834,88.19449584,,,FALSE,FALSE,FALSE
AMTA,Amta,SER,KGP,22.57477549,88.01939153,,,FALSE,FALSE,FALSE
ASB,Asanboni,SER,KGP,22.70512732,86.32172074,,,FALSE,FALSE,FALSE
BALT,Baltikuri,SER,KGP,22.60987299,88.29613775,,,FALSE,FALSE,FALSE
COIB,Combined Oil Industry at Somenathopur of M/s. HPCL,SER,KGP,21.49306487,86.84509861,,,FALSE,FALSE,FALSE
CPIB,CONCOR of M/s. Concor,SER,KGP,21.49150076,86.84536418,,,FALSE,FALSE,FALSE
CSY,Cossye,SER,KGP,22.40691873,87.28985624,,,FALSE,FALSE,FALSE
